run_id,station_id,timestamp,minute_index,operator_id,result,notes
RUN-001,S18,2026-08-01 06:20:00,20,OP-004,Pass,"Routine check, within spec."
RUN-001,S18,2026-08-01 06:40:00,40,OP-004,Pass,"Routine check, within spec."
RUN-001,S18,2026-08-01 07:00:00,60,OP-002,Pass,"Routine check, within spec."
RUN-001,S18,2026-08-01 07:20:00,80,OP-010,Pass,"Routine check, within spec."
RUN-001,S18,2026-08-01 07:40:00,100,OP-004,Pass,"Routine check, within spec."
RUN-001,S18,2026-08-01 08:00:00,120,OP-008,Pass,"Routine check, within spec."
RUN-001,S18,2026-08-01 08:20:00,140,OP-001,Pass,"Routine check, within spec."
RUN-001,S18,2026-08-01 08:40:00,160,OP-008,Pass,"Routine check, within spec."
RUN-001,S18,2026-08-01 09:00:00,180,OP-005,Pass,"Routine check, within spec."
RUN-001,S18,2026-08-01 09:20:00,200,OP-012,Pass,"Routine check, within spec."
RUN-001,S18,2026-08-01 09:40:00,220,OP-011,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 06:20:00,20,OP-001,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 06:40:00,40,OP-011,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 07:00:00,60,OP-005,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 07:20:00,80,OP-007,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 07:40:00,100,OP-011,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 08:00:00,120,OP-005,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 08:20:00,140,OP-007,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 08:40:00,160,OP-005,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 09:00:00,180,OP-005,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 09:20:00,200,OP-010,Pass,"Routine check, within spec."
RUN-001,S20,2026-08-01 09:40:00,220,OP-010,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 06:20:00,20,OP-009,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 06:40:00,40,OP-005,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 07:00:00,60,OP-004,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 07:20:00,80,OP-005,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 07:40:00,100,OP-004,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 08:00:00,120,OP-005,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 08:20:00,140,OP-002,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 08:40:00,160,OP-007,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 09:00:00,180,OP-006,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 09:20:00,200,OP-006,Pass,"Routine check, within spec."
RUN-001,S21,2026-08-01 09:40:00,220,OP-005,Pass,"Routine check, within spec."
RUN-001,S22,2026-08-01 06:20:00,20,OP-008,Pass,"Routine check, within spec."
RUN-001,S22,2026-08-01 06:40:00,40,OP-012,Pass,"Routine check, within spec."
RUN-001,S22,2026-08-01 07:00:00,60,OP-011,Fail,Anomaly consistent with RUN001-EVT01 (origin S21).
RUN-001,S22,2026-08-01 07:20:00,80,OP-004,Pass,"Routine check, within spec."
RUN-001,S22,2026-08-01 07:40:00,100,OP-012,Pass,"Routine check, within spec."
RUN-001,S22,2026-08-01 08:00:00,120,OP-008,Pass,"Routine check, within spec."
RUN-001,S22,2026-08-01 08:20:00,140,OP-009,Pass,"Routine check, within spec."
RUN-001,S22,2026-08-01 08:40:00,160,OP-012,Pass,"Routine check, within spec."
RUN-001,S22,2026-08-01 09:00:00,180,OP-006,Pass,"Routine check, within spec."
RUN-001,S22,2026-08-01 09:20:00,200,OP-002,Pass,"Routine check, within spec."
RUN-001,S22,2026-08-01 09:40:00,220,OP-007,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 06:20:00,20,OP-009,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 06:40:00,40,OP-004,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 07:00:00,60,OP-001,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 07:20:00,80,OP-007,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 07:40:00,100,OP-001,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 08:00:00,120,OP-004,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 08:20:00,140,OP-008,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 08:40:00,160,OP-002,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 09:00:00,180,OP-010,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 09:20:00,200,OP-011,Pass,"Routine check, within spec."
RUN-001,S29,2026-08-01 09:40:00,220,OP-001,Pass,"Routine check, within spec."
RUN-001,S30,2026-08-01 06:20:00,20,OP-007,Pass,"Routine check, within spec."
RUN-001,S30,2026-08-01 06:40:00,40,OP-011,Pass,"Routine check, within spec."
RUN-001,S30,2026-08-01 07:00:00,60,OP-008,Pass,"Routine check, within spec."
RUN-001,S30,2026-08-01 07:20:00,80,OP-003,Pass,"Routine check, within spec."
RUN-001,S30,2026-08-01 07:40:00,100,OP-007,Pass,"Routine check, within spec."
